folder	file	line	flags	法人番号	会社名
unit_million	111.fixed.csv	121	corporate_number_invalid_shape	7.05E+12	株式会社ヤマイチ
unit_million	111.fixed.csv	122	corporate_number_invalid_shape	1.05E+12	株式会社松坂屋
unit_million	111.fixed.csv	123	corporate_number_invalid_shape	7.05E+12	環境保全事業株式会社
unit_million	111.fixed.csv	124	corporate_number_invalid_shape	3.05E+12	NiX三喜株式会社
unit_million	111.fixed.csv	125	corporate_number_invalid_shape	4.05E+12	NAIS株式会社
unit_million	111.fixed.csv	126	corporate_number_invalid_shape	2.05E+12	株式会社アサヒヤ
unit_million	111.fixed.csv	127	corporate_number_invalid_shape	1.05E+12	株式会社大林化学
unit_million	111.fixed.csv	128	corporate_number_invalid_shape	8.05E+12	株式会社中里鋼業
unit_million	111.fixed.csv	129	corporate_number_invalid_shape	2.05E+12	株式会社柳田組
unit_million	111.fixed.csv	130	corporate_number_invalid_shape	1.05E+12	有限会社清原
unit_million	111.fixed.csv	131	corporate_number_invalid_shape	7.05E+12	JPC株式会社
unit_million	111.fixed.csv	132	corporate_number_invalid_shape	7.05E+12	株式会社野内
unit_million	111.fixed.csv	133	corporate_number_invalid_shape	5.05E+12	丸川木材株式会社
unit_million	111.fixed.csv	134	corporate_number_invalid_shape	1.05E+12	株式会社共進鋼業
unit_million	111.fixed.csv	135	corporate_number_invalid_shape	6.05E+12	株式会社バンビック
unit_million	111.fixed.csv	136	corporate_number_invalid_shape	6.05E+12	株式会社シンドウ
unit_million	111.fixed.csv	137	corporate_number_invalid_shape	5.05E+12	高塚建設工業株式会社
unit_million	111.fixed.csv	138	corporate_number_invalid_shape	7.05E+12	株式会社新みらい
unit_million	111.fixed.csv	139	corporate_number_invalid_shape	3.05E+12	株式会社浅川建設
unit_million	111.fixed.csv	140	corporate_number_invalid_shape	6.05E+12	株式会社爆発研究所
unit_million	111.fixed.csv	141	corporate_number_invalid_shape	2.05E+12	株式会社フロムダブリュー
unit_million	111.fixed.csv	142	corporate_number_invalid_shape	1.05E+12	株式会社阿久津工務店
unit_million	111.fixed.csv	143	corporate_number_invalid_shape	6.05E+12	筑波エンジニアリング株式会社
unit_million	111.fixed.csv	144	corporate_number_invalid_shape	6.05E+12	松本産業株式会社
unit_million	111.fixed.csv	145	corporate_number_invalid_shape	4.05E+12	株式会社那珂ハウジング
unit_million	111.fixed.csv	146	corporate_number_invalid_shape	4.05E+12	野内商事株式会社
unit_million	111.fixed.csv	147	corporate_number_invalid_shape	3.05E+12	株式会社カワサキフィールドサービス
unit_million	111.fixed.csv	148	corporate_number_invalid_shape	5.05E+12	有限会社アルドゥール
unit_million	111.fixed.csv	149	corporate_number_invalid_shape	5.05E+12	有限会社龍ヶ崎鐵巧
unit_million	111.fixed.csv	150	corporate_number_invalid_shape	6.05E+12	有限会社早川金属工業
unit_million	111.fixed.csv	151	corporate_number_invalid_shape	2.05E+12	株式会社伊東建設
unit_million	111.fixed.csv	152	corporate_number_invalid_shape	2.05E+12	株式会社匠エンジニアリング
unit_million	111.fixed.csv	153	corporate_number_invalid_shape	9.05E+12	株式会社シマムラ工業
unit_million	111.fixed.csv	154	corporate_number_invalid_shape	9.05E+12	藤崎建設工業株式会社
unit_million	111.fixed.csv	155	corporate_number_invalid_shape	3.05E+12	大増石商有限会社
unit_million	111.fixed.csv	156	corporate_number_invalid_shape	4.05E+12	株式会社ジェネシス
unit_million	111.fixed.csv	157	corporate_number_invalid_shape	8.05E+12	常栄エンジニアリング株式会社
unit_million	111.fixed.csv	158	corporate_number_invalid_shape	6.05E+12	増川建設株式会社
unit_million	111.fixed.csv	159	corporate_number_invalid_shape	5.05E+12	株式会社飯田製作所
unit_million	111.fixed.csv	160	corporate_number_invalid_shape	3.05E+12	株式会社鉾田クレーン工事
unit_million	111.fixed.csv	161	corporate_number_invalid_shape	6.05E+12	株式会社瀧工務店
unit_million	111.fixed.csv	162	corporate_number_invalid_shape	2.05E+12	株式会社梅原工務店
unit_million	111.fixed.csv	163	corporate_number_invalid_shape	3.05E+12	有限会社小山トレイディングカンパニー
unit_million	111.fixed.csv	164	corporate_number_invalid_shape	4.05E+12	有限会社大内設備工業所
unit_million	111.fixed.csv	165	corporate_number_invalid_shape	8.05E+12	株式会社ワイズアンドテクノロジー
unit_million	111.fixed.csv	166	corporate_number_invalid_shape	5.05E+12	有限会社アグリクリエイト
